Meet,MeetId,Event,Round,EventDate,Panel,RoundsCovered,Function,JudgeNo,JudgeName
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Preliminary,Preliminary,,A,1-6,Judge 1,J1,HUBER Peter AUT
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Preliminary,Preliminary,,B,1-6,Judge 1,J1,BOOTHROYD Sydney GBR
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Preliminary,Preliminary,,A,1-6,Judge 2,J2,NARYCHKINE Vladimir BLR
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Preliminary,Preliminary,,B,1-6,Judge 2,J2,ILIADIS Evangelos GRE
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Preliminary,Preliminary,,A,1-6,Judge 3,J3,MATTURI-SLOTTE Marja FIN
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Preliminary,Preliminary,,B,1-6,Judge 3,J3,CASTIONI Enzo ITA
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Preliminary,Preliminary,,A,1-6,Judge 4,J4,BOUSSARD Michel FRA
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Preliminary,Preliminary,,B,1-6,Judge 4,J4,EVANGULOV Alexei RUS
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Preliminary,Preliminary,,A,1-6,Judge 5,J5,ALT Walter GER
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Preliminary,Preliminary,,B,1-6,Judge 5,J5,LINDBERG Mathz SWE
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Preliminary,Preliminary,,A,1-6,Judge 6,J6,REINE Inger NOR
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Preliminary,Preliminary,,B,1-6,Judge 6,J6,KELEMEN Ildiko HUN
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Preliminary,Preliminary,,A,1-6,Judge 7,J7,ILIES Ioan ROM
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Preliminary,Preliminary,,B,1-6,Judge 7,J7,BARSUKOV Olexandr UKR
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Final,Final,,single,1-6,Judge 5,J5,ILIES Ioan ROM
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Final,Final,,single,1-6,Judge 1,J1,BOUSSARD Michel FRA
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Final,Final,,single,1-6,Judge 6,J6,LINDBERG Mathz SWE
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Final,Final,,single,1-6,Judge 2,J2,KELEMEN Ildiko HUN
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Final,Final,,single,1-6,Judge 7,J7,BARSUKOV Olexandr UKR
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Final,Final,,single,1-6,Judge 3,J3,CASTIONI Enzo ITA
European Championships 2000 (Diving),helsinki_2000_euro,MEN 1m Springboard Final,Final,,single,1-6,Judge 4,J4,REINE Inger NOR
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Preliminary,Preliminary,,A,1-6,Judge 1,J1,BARSUKOV Olexandr UKR
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Preliminary,Preliminary,,B,1-6,Judge 1,J1,HUBER Peter AUT
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Preliminary,Preliminary,,A,1-6,Judge 2,J2,NILSON Jan-Erik SWE
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Preliminary,Preliminary,,B,1-6,Judge 2,J2,NARYCHKINE Vladimir BLR
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Preliminary,Preliminary,,A,1-6,Judge 3,J3,EVANGULOV Alexei RUS
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Preliminary,Preliminary,,B,1-6,Judge 3,J3,MATTURI-SLOTTE Marja FIN
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Preliminary,Preliminary,,A,1-6,Judge 4,J4,CASTIONI Enzo ITA
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Preliminary,Preliminary,,B,1-6,Judge 4,J4,BOUSSARD Michel FRA
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Preliminary,Preliminary,,A,1-6,Judge 5,J5,BOOTHROYD Sydney GBR
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Preliminary,Preliminary,,B,1-6,Judge 5,J5,ALT Walter GER
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Preliminary,Preliminary,,A,1-6,Judge 6,J6,REINE Inger NOR
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Preliminary,Preliminary,,B,1-6,Judge 6,J6,CRUZ Julia ESP
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Preliminary,Preliminary,,A,1-6,Judge 7,J7,KELEMEN Ildiko HUN
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Preliminary,Preliminary,,B,1-6,Judge 7,J7,KONIJNENBURG Frans NED
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Final,Final,,single,1-6,Judge 5,J5,NILSON Jan-Erik SWE
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Final,Final,,single,1-6,Judge 1,J1,HUBER Peter AUT
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Final,Final,,single,1-6,Judge 6,J6,MALIEV Rouslan SUI
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Final,Final,,single,1-6,Judge 2,J2,BOUSSARD Michel FRA
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Final,Final,,single,1-6,Judge 7,J7,ILIES Ioan ROM
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Final,Final,,single,1-6,Judge 3,J3,KONIJNENBURG Frans NED
European Championships 2000 (Diving),helsinki_2000_euro,MEN 3m Springboard Final,Final,,single,1-6,Judge 4,J4,REINE Inger NOR
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Final,Final,,single,1-6,Judge 5,J5,JONGEJANS E. NED
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Final,Final,,single,1-6,Judge 1,J1,CERMAKOVA Marie CZE
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Final,Final,,single,1-6,Judge 6,J6,JOHNSON Bente NOR
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Final,Final,,single,1-6,Judge 2,J2,KOMULAINEN Jari FIN
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Final,Final,,single,1-6,Judge 7,J7,MALIEV Rouslan SUI
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Final,Final,,single,1-6,Judge 3,J3,BOUSSARD Michel FRA
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Final,Final,,single,1-6,Judge 4,J4,KELEMEN Ildiko HUN
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Preliminary,Preliminary,,A,1-6,Judge 1,J1,HUBER Peter AUT
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Preliminary,Preliminary,,B,1-6,Judge 1,J1,ALT Walter GER
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Preliminary,Preliminary,,A,1-6,Judge 2,J2,ILIADIS Evangelos GRE
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Preliminary,Preliminary,,B,1-6,Judge 2,J2,LINDBERG Mathz SWE
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Preliminary,Preliminary,,A,1-6,Judge 3,J3,CASTIONI Enzo ITA
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Preliminary,Preliminary,,B,1-6,Judge 3,J3,BOUSSARD Michel FRA
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Preliminary,Preliminary,,A,1-6,Judge 4,J4,JOHNSON Bente NOR
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Preliminary,Preliminary,,B,1-6,Judge 4,J4,KOMULAINEN Jari FIN
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Preliminary,Preliminary,,A,1-6,Judge 5,J5,EVANGULOV Alexei RUS
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Preliminary,Preliminary,,B,1-6,Judge 5,J5,NARYCHKINE Vladimir BLR
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Preliminary,Preliminary,,A,1-6,Judge 6,J6,KONIJNENBURG Frans NED
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Preliminary,Preliminary,,B,1-6,Judge 6,J6,MALIEV Rouslan SUI
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Preliminary,Preliminary,,A,1-6,Judge 7,J7,BOOTHROYD Sydney GBR
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Preliminary,Preliminary,,B,1-6,Judge 7,J7,CERMAKOVA Marie CZE
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Semi-final,Semifinal,,A,1-6,Judge 1,J1,HUBER Peter AUT
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Semi-final,Semifinal,,B,1-6,Judge 1,J1,ALT Walter GER
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Semi-final,Semifinal,,A,1-6,Judge 2,J2,ILIADIS Evangelos GRE
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Semi-final,Semifinal,,B,1-6,Judge 2,J2,LINDBERG Mathz SWE
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Semi-final,Semifinal,,A,1-6,Judge 3,J3,CASTIONI Enzo ITA
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Semi-final,Semifinal,,B,1-6,Judge 3,J3,BOUSSARD Michel FRA
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Semi-final,Semifinal,,A,1-6,Judge 4,J4,JOHNSON Bente NOR
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Semi-final,Semifinal,,B,1-6,Judge 4,J4,KOMULAINEN Jari FIN
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Semi-final,Semifinal,,A,1-6,Judge 5,J5,EVANGULOV Alexei RUS
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Semi-final,Semifinal,,B,1-6,Judge 5,J5,KELEMEN Ildiko HUN
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Semi-final,Semifinal,,A,1-6,Judge 6,J6,KONIJNENBURG Frans NED
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Semi-final,Semifinal,,B,1-6,Judge 6,J6,MALIEV Rouslan SUI
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Semi-final,Semifinal,,A,1-6,Judge 7,J7,BOOTHROYD Sydney GBR
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Semi-final,Semifinal,,B,1-6,Judge 7,J7,CERMAKOVA Marie CZE
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Final,Final,,single,1-6,Judge 5,J5,JONGEJANS E. NED
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Final,Final,,single,1-6,Judge 1,J1,CERMAKOVA Marie CZE
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Final,Final,,single,1-6,Judge 6,J6,JOHNSON Bente NOR
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Final,Final,,single,1-6,Judge 2,J2,KOMULAINEN Jari FIN
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Final,Final,,single,1-6,Judge 7,J7,MALIEV Rouslan SUI
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Final,Final,,single,1-6,Judge 3,J3,BOUSSARD Michel FRA
European Championships 2000 (Diving),helsinki_2000_euro,MEN Platform Final,Final,,single,1-6,Judge 4,J4,KELEMEN Ildiko HUN
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Preliminary,Preliminary,,A,1-6,Judge 1,J1,EVANGULOV Alexei RUS
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Preliminary,Preliminary,,B,1-6,Judge 1,J1,MATTURI-SLOTTE Marja FIN
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Preliminary,Preliminary,,A,1-6,Judge 2,J2,BOOTHROYD Sydney GBR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Preliminary,Preliminary,,B,1-6,Judge 2,J2,BOUSSARD Michel FRA
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Preliminary,Preliminary,,A,1-6,Judge 3,J3,ILIADIS Evangelos GRE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Preliminary,Preliminary,,B,1-6,Judge 3,J3,VOELKER Gerd GER
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Preliminary,Preliminary,,A,1-6,Judge 4,J4,CASTIONI Enzo ITA
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Preliminary,Preliminary,,B,1-6,Judge 4,J4,REINE Inger NOR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Preliminary,Preliminary,,A,1-6,Judge 5,J5,ILIES Ioan ROM
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Preliminary,Preliminary,,B,1-6,Judge 5,J5,BARSUKOV Olexandr UKR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Preliminary,Preliminary,,A,1-6,Judge 6,J6,MALIEV Rouslan SUI
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Preliminary,Preliminary,,B,1-6,Judge 6,J6,HUBER Peter AUT
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Preliminary,Preliminary,,A,1-6,Judge 7,J7,CERMAKOVA Marie CZE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Preliminary,Preliminary,,B,1-6,Judge 7,J7,NILSON Jan-Erik SWE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Final,Final,,single,1-6,Judge 5,J5,BOOTHROYD Sydney GBR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Final,Final,,single,1-6,Judge 1,J1,HUBER Peter AUT
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Final,Final,,single,1-6,Judge 6,J6,ILIADIS Evangelos GRE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Final,Final,,single,1-6,Judge 2,J2,CERMAKOVA Marie CZE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Final,Final,,single,1-6,Judge 7,J7,CASTIONI Enzo ITA
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Final,Final,,single,1-6,Judge 3,J3,MATTURI-SLOTTE Marja FIN
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 1m Springboard Final,Final,,single,1-6,Judge 4,J4,BOUSSARD Michel FRA
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Preliminary,Preliminary,,A,1-6,Judge 1,J1,VOELKER Gerd GER
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Preliminary,Preliminary,,B,1-6,Judge 1,J1,CASTIONI Enzo ITA
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Preliminary,Preliminary,,A,1-6,Judge 2,J2,MATTURI-SLOTTE Marja FIN
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Preliminary,Preliminary,,B,1-6,Judge 2,J2,BARSUKOV Olexandr UKR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Preliminary,Preliminary,,A,1-6,Judge 3,J3,NARYCHKINE Vladimir BLR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Preliminary,Preliminary,,B,1-6,Judge 3,J3,BOOTHROYD Sydney GBR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Preliminary,Preliminary,,A,1-6,Judge 4,J4,REINE Inger NOR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Preliminary,Preliminary,,B,1-6,Judge 4,J4,ILIADIS Evangelos GRE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Preliminary,Preliminary,,A,1-6,Judge 5,J5,BOUSSARD Michel FRA
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Preliminary,Preliminary,,B,1-6,Judge 5,J5,EVANGULOV Alexei RUS
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Preliminary,Preliminary,,A,1-6,Judge 6,J6,HUBER Peter AUT
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Preliminary,Preliminary,,B,1-6,Judge 6,J6,LINDBERG Mathz SWE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Preliminary,Preliminary,,A,1-6,Judge 7,J7,CERMAKOVA Marie CZE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Preliminary,Preliminary,,B,1-6,Judge 7,J7,MALIEV Rouslan SUI
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Semi-final,Semifinal,,A,1-6,Judge 1,J1,VOELKER Gerd GER
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Semi-final,Semifinal,,B,1-6,Judge 1,J1,CASTIONI Enzo ITA
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Semi-final,Semifinal,,A,1-6,Judge 2,J2,MATTURI-SLOTTE Marja FIN
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Semi-final,Semifinal,,B,1-6,Judge 2,J2,BARSUKOV Olexandr UKR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Semi-final,Semifinal,,A,1-6,Judge 3,J3,NARYCHKINE Vladimir BLR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Semi-final,Semifinal,,B,1-6,Judge 3,J3,BOOTHROYD Sydney GBR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Semi-final,Semifinal,,A,1-6,Judge 4,J4,REINE Inger NOR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Semi-final,Semifinal,,B,1-6,Judge 4,J4,ILIADIS Evangelos GRE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Semi-final,Semifinal,,A,1-6,Judge 5,J5,BOUSSARD Michel FRA
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Semi-final,Semifinal,,B,1-6,Judge 5,J5,EVANGULOV Alexei RUS
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Semi-final,Semifinal,,A,1-6,Judge 6,J6,HUBER Peter AUT
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Semi-final,Semifinal,,B,1-6,Judge 6,J6,LINDBERG Mathz SWE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Semi-final,Semifinal,,A,1-6,Judge 7,J7,CERMAKOVA Marie CZE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Semi-final,Semifinal,,B,1-6,Judge 7,J7,MALIEV Rouslan SUI
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Final,Final,,single,1-6,Judge 5,J5,CERMAKOVA Marie CZE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Final,Final,,single,1-6,Judge 1,J1,LINDBERG Mathz SWE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Final,Final,,single,1-6,Judge 6,J6,NARYCHKINE Vladimir BLR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Final,Final,,single,1-6,Judge 2,J2,REINE Inger NOR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Final,Final,,single,1-6,Judge 7,J7,MALIEV Rouslan SUI
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Final,Final,,single,1-6,Judge 3,J3,CASTIONI Enzo ITA
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN Platform Final,Final,,single,1-6,Judge 4,J4,MATTURI-SLOTTE Marja FIN
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Preliminary,Preliminary,,A,1-6,Judge 1,J1,CERMAKOVA Marie CZE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Preliminary,Preliminary,,B,1-6,Judge 1,J1,CASTIONI Enzo ITA
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Preliminary,Preliminary,,A,1-6,Judge 2,J2,BOUSSARD Michel FRA
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Preliminary,Preliminary,,B,1-6,Judge 2,J2,BOOTHROYD Sydney GBR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Preliminary,Preliminary,,A,1-6,Judge 3,J3,CRUZ Julia ESP
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Preliminary,Preliminary,,B,1-6,Judge 3,J3,MATTURI-SLOTTE Marja FIN
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Preliminary,Preliminary,,A,1-6,Judge 4,J4,VOELKER Gerd GER
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Preliminary,Preliminary,,B,1-6,Judge 4,J4,REINE Inger NOR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Preliminary,Preliminary,,A,1-6,Judge 5,J5,NILSON Jan-Erik SWE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Preliminary,Preliminary,,B,1-6,Judge 5,J5,KELEMEN Ildiko HUN
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Preliminary,Preliminary,,A,1-6,Judge 6,J6,BARSUKOV Olexandr UKR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Preliminary,Preliminary,,B,1-6,Judge 6,J6,EVANGULOV Alexei RUS
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Preliminary,Preliminary,,A,1-6,Judge 7,J7,ILIES Ioan ROM
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Preliminary,Preliminary,,B,1-6,Judge 7,J7,KONIJNENBURG Frans NED
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Semi-final,Semifinal,,A,1-6,Judge 1,J1,CERMAKOVA Marie CZE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Semi-final,Semifinal,,B,1-6,Judge 1,J1,CASTIONI Enzo ITA
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Semi-final,Semifinal,,A,1-6,Judge 2,J2,BOUSSARD Michel FRA
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Semi-final,Semifinal,,B,1-6,Judge 2,J2,BOOTHROYD Sydney GBR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Semi-final,Semifinal,,A,1-6,Judge 3,J3,CRUZ Julia ESP
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Semi-final,Semifinal,,B,1-6,Judge 3,J3,MATTURI-SLOTTE Marja FIN
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Semi-final,Semifinal,,A,1-6,Judge 4,J4,VOELKER Gerd GER
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Semi-final,Semifinal,,B,1-6,Judge 4,J4,REINE Inger NOR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Semi-final,Semifinal,,A,1-6,Judge 5,J5,NILSON Jan-Erik SWE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Semi-final,Semifinal,,B,1-6,Judge 5,J5,KELEMEN Ildiko HUN
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Semi-final,Semifinal,,A,1-6,Judge 6,J6,BARSUKOV Olexandr UKR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Semi-final,Semifinal,,B,1-6,Judge 6,J6,EVANGULOV Alexei RUS
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Semi-final,Semifinal,,A,1-6,Judge 7,J7,HUBER Peter AUT
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Semi-final,Semifinal,,B,1-6,Judge 7,J7,KONIJNENBURG Frans NED
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Final,Final,,single,1-6,Judge 5,J5,REINE Inger NOR
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Final,Final,,single,1-6,Judge 1,J1,CERMAKOVA Marie CZE
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Final,Final,,single,1-6,Judge 6,J6,KELEMEN Ildiko HUN
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Final,Final,,single,1-6,Judge 2,J2,CRUZ Julia ESP
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Final,Final,,single,1-6,Judge 7,J7,KONIJNENBURG Frans NED
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Final,Final,,single,1-6,Judge 3,J3,HUBER Peter AUT
European Championships 2000 (Diving),helsinki_2000_euro,WOMEN 3m Springboard Final,Final,,single,1-6,Judge 4,J4,MATTURI-SLOTTE Marja FIN
3rd FINA Diving Grand Prix Super Final,bangkok_2000_gp,WOMEN Platform Semi-finals A,Semifinal,,single,1-6,Judge 5,J5,DIBIASI Klaus ITA
3rd FINA Diving Grand Prix Super Final,bangkok_2000_gp,WOMEN Platform Semi-finals A,Semifinal,,single,1-6,Judge 1,J1,COOK Jeff GBR
3rd FINA Diving Grand Prix Super Final,bangkok_2000_gp,WOMEN Platform Semi-finals A,Semifinal,,single,1-6,Judge 6,J6,CERMAKOVA Maria CZE
3rd FINA Diving Grand Prix Super Final,bangkok_2000_gp,WOMEN Platform Semi-finals A,Semifinal,,single,1-6,Judge 2,J2,GOMPF Thomas USA
3rd FINA Diving Grand Prix Super Final,bangkok_2000_gp,WOMEN Platform Semi-finals A,Semifinal,,single,1-6,Judge 7,J7,CRUZ Julia ESP
3rd FINA Diving Grand Prix Super Final,bangkok_2000_gp,WOMEN Platform Semi-finals A,Semifinal,,single,1-6,Judge 3,J3,HOOD Robin NZL
3rd FINA Diving Grand Prix Super Final,bangkok_2000_gp,WOMEN Platform Semi-finals A,Semifinal,,single,1-6,Judge 4,J4,ANDREWS Ron RSA
3rd FINA Diving Grand Prix Super Final,bangkok_2000_gp,WOMEN Platform Semi-finals B,Semifinal,,single,1-6,Judge 5,J5,DIBIASI Klaus ITA
3rd FINA Diving Grand Prix Super Final,bangkok_2000_gp,WOMEN Platform Semi-finals B,Semifinal,,single,1-6,Judge 1,J1,COOK Jeff GBR
3rd FINA Diving Grand Prix Super Final,bangkok_2000_gp,WOMEN Platform Semi-finals B,Semifinal,,single,1-6,Judge 6,J6,CERMAKOVA Maria CZE
3rd FINA Diving Grand Prix Super Final,bangkok_2000_gp,WOMEN Platform Semi-finals B,Semifinal,,single,1-6,Judge 2,J2,GOMPF Thomas USA
3rd FINA Diving Grand Prix Super Final,bangkok_2000_gp,WOMEN Platform Semi-finals B,Semifinal,,single,1-6,Judge 7,J7,CRUZ Julia ESP
